invoice_no,name,city,region,product,brand,store,quantity,unit_price,discount,order_timestamp,payment_mode
INV98737,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,4,28000,0,2026-03-09 20:57:00,UPI
INV88895,Amit,Delhi,Delhi,Phone,Apple,Store Delhi,3,120000,0,2026-03-03 00:55:00,CARD
INV41318,Priya,Delhi,Delhi,Phone,Apple,Store Delhi,5,120000,3000,2026-01-28 23:58:00,UPI
INV19981,Vishal,Delhi,Delhi,Phone,Samsung,Store Delhi,1,28000,500,2026-01-14 04:21:00,CARD
INV74976,Sneha,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,1,120000,3000,2026-02-21 08:56:00,UPI
INV75394,Rahul,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,4,28000,100,2026-02-21 15:54:00,CARD
INV57159,Rahul,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,4,120000,3000,2026-02-08 23:59:00,CARD
INV49848,Rahul,Delhi,Delhi,Phone,Apple,Store Delhi,5,120000,3000,2026-02-03 22:08:00,UPI
INV24409,Rahul,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,1,28000,0,2026-01-17 06:09:00,COD
INV17591,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,2,120000,2500,2026-01-12 12:31:00,CARD
INV15037,Vishal,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,4,120000,0,2026-01-10 17:57:00,COD
INV63690,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,4,28000,100,2026-02-13 12:50:00,CARD
INV35370,Rahul,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,2500,2026-01-24 20:50:00,UPI
INV99049,Vishal,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,2,120000,0,2026-03-10 02:09:00,UPI
INV59548,Rahul,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,4,120000,5000,2026-02-10 15:48:00,UPI
INV58067,Rahul,Delhi,Delhi,Phone,Apple,Store Delhi,2,120000,5000,2026-02-09 15:07:00,UPI
